DMS_ORIG,ORIGIN,DMS_DEST,DESTINATION,DMS_MODE,Total KTons in 2015,Total Ton-Mile in 2015,length
Tucson AZ,Tucson,Albuquerque NM,Albuquerque,Truck,65.4118,65.8133,1006.138036
Tucson AZ,Tucson,Port of New Orleans LA,Port of New Orleans,Truck,0.6123,1.2142,1983.014862
Tucson AZ,Tucson,Oklahoma City OK,Oklahoma City,Truck,285.3828,196.2835,687.7902242
Tucson AZ,Tucson,Sacramento CA,Sacramento,Truck,19632.9964,2347.8504,119.5869623
Tucson AZ,Tucson,Salt Lake City UT,Salt Lake City,Truck,6007.2485,1209.2099,201.2918061
Tucson AZ,Tucson,San Antonio TX,San Antonio,Truck,59.5493,61.9037,1039.536989
Tucson AZ,Tucson,San Diego CA,San Diego,Truck,10.4185,9.5495,916.59068
Tucson AZ,Tucson,San Francisco CA,San Francisco,Truck,86.7862,41.4944,478.1220978
Tucson AZ,Tucson,Tulsa OK,Tulsa,Truck,35.3469,28.4973,806.2178013
Tucson AZ,Tucson,Wichita KS,Wichita,Truck,295.6781,53.2544,180.1093825
Tulsa OK,Tulsa,Austin TX,Austin,Truck,5164.5378,1425.3972,275.9970505
Tulsa OK,Tulsa,Beaumont TX,Beaumont,Truck,19.3013,9.2151,477.4341625
Tulsa OK,Tulsa,Corpus Christi TX,Corpus Christi,Truck,3516.1285,1090.1697,310.0483102
Tulsa OK,Tulsa,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,1239.5297,624.2659,503.6312563
Tulsa OK,Tulsa,El Paso TX,El Paso,Truck,36.5015,22.6378,620.1882114
Tulsa OK,Tulsa,Port of Houston TX,Port of Houston,Truck,3263.3937,1653.0995,506.5584027
Tulsa OK,Tulsa,Laredo TX,Laredo,Truck,97.8292,70.7592,723.2932499
Tulsa OK,Tulsa,Salt Lake City UT,Salt Lake City,Truck,187.7307,374.4438,1994.579469
Tulsa OK,Tulsa,San Antonio TX,San Antonio,Truck,79.3039,76.7146,967.3496512
Wichita KS,Wichita,Austin TX,Austin,Truck,166.105,98.4259,592.5523013
Wichita KS,Wichita,Baton Rouge LA,Baton Rouge,Truck,8.8357,14.0576,1591.000147
Wichita KS,Wichita,Beaumont TX,Beaumont,Truck,989.2031,447.9961,452.8858634
Wichita KS,Wichita,Corpus Christi TX,Corpus Christi,Truck,15244.8251,4429.5333,290.5597979
Wichita KS,Wichita,Dallas-Fort Worth TX,Dallas-Fort Worth,Truck,2107.8035,1534.8276,728.1644613
Wichita KS,Wichita,El Paso TX,El Paso,Truck,26.1147,13.9773,535.2272858
Wichita KS,Wichita,Port of Houston TX,Port of Houston,Truck,252.4156,492.3239,1950.449576
Wichita KS,Wichita,Lake Charles LA,Lake Charles,Truck,145.4069,208.7497,1435.624444
Wichita KS,Wichita,Laredo TX,Laredo,Truck,89.8382,60.6193,674.7608478
Wichita KS,Wichita,Las Vegas NV,Las Vegas,Truck,1074.2386,543.0593,505.5294978
Wichita KS,Wichita,Albuquerque NM,Albuquerque,Truck,180.6245,175.6257,972.3249061
Wichita KS,Wichita,Port of New Orleans LA,Port of New Orleans,Truck,140.4463,278.7293,1984.59696
Wichita KS,Wichita,Oklahoma City OK,Oklahoma City,Truck,384.2371,207.6775,540.4930966
Wichita KS,Wichita,Salt Lake City UT,Salt Lake City,Truck,7.5078,15.6079,2078.891286
Wichita KS,Wichita,San Antonio TX,San Antonio,Truck,1.9599,1.8935,966.1207204
Wichita KS,Wichita,Tulsa OK,Tulsa,Truck,1.4377,1.1481,798.5671559
