"","ID_2","X_1","Y_1"
"1",1,-91.0910322157619,30.4832411522969
"2",3,-96.807339,32.767733
"3",4,-96.6840690048342,32.9092595020629
"4",5,-111.905957304258,40.5879830221391
"5",6,-111.922291475087,40.764458630372
"6",7,-111.861546397112,41.7356764571926
"7",8,-110.812938652407,39.5862249963229
"8",9,-112.083251402125,38.7861780583847
"9",10,-113.563804083161,37.1097893868025
"10",11,-104.678442629132,39.8334431241912
"11",12,-121.061069147541,39.2018676229508
"12",13,-119.03943436326,35.3175582850525
"13",14,-119.761894,36.706887
"14",15,-122.114690866274,37.6302331622781
"15",16,-121.28550569701,37.9903368123145
"16",17,-122.766853107776,38.428096604523
"17",18,-121.388514126726,38.5251434491468
"18",19,-117.05329242677,32.6392042070594
"19",20,-117.036021437243,32.9745610137167
"20",21,-117.225396279067,33.8627573735728
"21",22,-118.465960066883,34.0289808229745
"22",23,-118.016116594861,34.0291259411902
"23",24,-118.500205,34.208433
"24",25,-117.881169507927,34.0862341587225
"25",26,-117.830279,34.003797
"26",27,-116.396893301869,33.8109924861727
"27",28,-117.767297416303,33.6721099931654
"28",29,-118.147097152819,34.6529902604681
"29",30,-115.125545008607,36.217714072805
"30",31,-118.377349,33.941383
"31",32,-112.133931240107,33.6012974050718
"32",33,-121.812685097083,39.7141484579533
"33",34,-121.975307445221,38.3507155592948
"34",35,-116.8767,33.921738
"35",36,-117.627643267343,34.0471455873154
"36",37,-117.584210690347,34.0412075308581
"37",38,-119.335699866454,36.1692905138709
"38",39,-117.332289129413,34.506897975611
"39",40,-119.428203862121,36.5895841162159
"40",41,-119.244334702524,35.7485562251535
"41",42,-117.297705388807,34.5400670864816
"42",43,-106.627296961737,35.0911588906217
"43",44,-122.046765407488,37.9799334468019
"44",45,-97.0405292070274,32.876736109835
"45",46,-118.11737128589,33.8892581460508
"46",47,-121.926759,37.370605
"47",48,-111.642533,40.188158
"48",49,-111.995901350639,40.6070614778522
"49",50,-111.98577,40.772554
"50",51,-111.725075259298,40.3463545476359
"51",52,-111.804248,41.742584
"52",53,-111.95675,40.667608
"53",54,-111.958108,40.712254
"54",55,-111.905446,40.674511
"55",56,-117.572462256286,33.8807030898971
"56",57,-117.415292706195,33.9298716535278
"57",58,-122.398535768696,37.6331957676145
"58",59,-117.923974067646,34.1335404953516
"59",60,-117.865214732919,33.864180656034
"60",61,-118.134705709535,34.6884293180938
"61",62,-110.926016013255,32.1231703258753
"62",63,-116.45745055706,34.1164904828139
"63",64,-122.307927775521,37.8813134163749
"64",65,-119.31412459862,36.3562985483203
"65",66,-121.958163443865,37.3804608327849
"66",67,-111.733907851285,40.3075713575427
"67",68,-117.078805045888,34.8858979342007
"68",69,-110.946011795689,32.2152472575896
"69",70,-118.135168185929,34.5958500986742
"70",71,-99.4049191172032,35.4057938794004
"71",72,-118.605875507833,34.2099135097332
"72",73,-118.284312245388,33.8079798883711
"73",74,-97.7380302807444,30.2157088574769
"74",75,-94.0971961692625,30.0788431993807
"75",76,-118.162667610707,33.8120131188471
"76",77,-117.867382627611,33.7038458034809
"77",78,-122.194867748919,37.7463110876169
"78",79,-122.282358107336,37.8015663423987
"79",80,-120.487335985278,37.2984031357269
"80",81,-119.002171867246,35.3482523017782
"81",82,-117.288348510719,34.0920967899567
"82",83,-117.457510021598,33.9562794597349
"83",84,-112.052964878107,41.4850174593821
"84",85,-111.899104358417,40.8842389401149
"85",86,-117.995976065104,33.7155811527464
"86",87,-118.439254340698,34.2842706304052
"87",88,-118.255893886098,34.1216730061711
"88",89,-97.0695980071403,36.1450705316471
"89",90,-117.922338018081,34.0086983029961
"90",91,-118.375861226955,34.0594386821789
"91",92,-97.532532,35.523326
"92",93,-119.333720250448,35.5968664220837
"93",94,-117.674854952164,33.5471626321326
"94",95,-118.221994706956,33.7825991061892
"95",96,-119.039355598583,36.0758104380186
"96",97,-117.575356934427,34.0610662045674
"97",98,-97.4294460451905,27.73205636497
"98",99,-113.435169823798,37.1604846987715
"99",100,-97.6401288953206,35.6093850422614
"100",101,-96.6974927446921,34.7731560257707
"101",102,-117.874574553142,33.8060733582166
"102",103,-111.989999169023,40.7405268317407
"103",104,-113.581201458504,37.0856608016167
"104",105,-109.499530734384,40.4334055771284
"105",106,-112.012120664127,41.2283071050178
"106",107,-104.679891407947,40.4127111163149
"107",108,-104.810776739971,40.1157328168389
"108",109,-104.564388820174,40.3929326747523
"109",110,-112.113981085009,39.2527475663249
"110",111,-93.7146644955543,32.5284536466195
"111",112,-94.4350808344403,35.3546999939398
"112",113,-97.5983564849274,34.823800362913
"113",114,-97.6197360282657,35.4643046999127
"114",115,-97.5116133160331,35.4932087848875
"115",116,-95.8546921962103,36.2640385368816
"116",117,-108.58058460378,39.0790666374538
"117",118,-93.671632,32.472631
"118",119,-106.892141758906,34.0476139011204
"119",120,-111.915378944033,40.7255822389046
"120",121,-113.497707661105,37.1430961551012
"121",122,-96.8965792890213,32.8082369595175
"122",123,-92.3900080451034,35.3822087637177
"123",124,-104.979045789633,40.1617433980729
"124",125,-118.376851144796,33.9495304521154
"125",126,-117.380655638297,34.0231175334695
"126",127,-111.949248473643,41.1766968513558
"127",128,-118.34433026026,33.8483252674551
"128",129,-117.85335213389,33.7268057346971
"129",130,-95.002125,35.920334
"130",131,-111.41324714587,40.4928584551845
"131",132,-121.366017580916,38.3805920579202
"132",133,-118.031944940247,34.0302294624631
"133",134,-93.715603,32.028323
"134",135,-92.5198338403773,31.3454798486793
"135",136,-94.9903285115417,35.8534256762562
"136",137,-117.018394,32.607449
