"","LONGITUDE","LATITUDE","NAME","ADDRESS","ID","AADTT","FLEET","ID_2"
"95",-92.376587,34.886278,"Indie Truck Stop","Morgan Valero 471
I-40 Ex 142, 1823 Mac Arthur Dr
N Little Rock AR
Phone:72118

","94",7920,0,"455"
"96",-92.125573,34.786217,"Loves Travel Stop","Loves Travel Stop
11801 E. I-40, I-40 Exit 161
N Little Rock AR
Phone:72117

","95",21290,0,"456"
"97",-91.251552,35.63805,"Indie Truck Stop","Flash Market
Hwy 367 and Hwy 18, 3424 Highway 367 N
Newport AR
Phone:72112

","96",1031,0,"457"
"98",-91.243425,35.638383,"Indie Truck Stop","Newport Truck Plaza
US67 and AR18, 3600 Air Base Rd
Newport AR
Phone:72112

","97",1309,0,"458"
"99",-92.382434,34.883475,"AM Best","Morgan Shell Truck Stop
I-40 Ex 142 (Hwy 365), 20515 Highway 365 N
North Little Rock AR
Phone:

","98",7920,0,"459"
"100",-92.130243,34.781664,"Petro Center","Petro Center
I-40, Exit 161, 3205 Valentine Road
North Little Rock AR
Phone:72117

","99",21642,0,"460"
"101",-92.127936,34.781135,"Pilot Travel Center","Pilot Travel Center
I-40 Exit 161, Galloway Rd, 3300 Highway 391 North
North Little Rock AR
Phone:72117

","100",21642,0,"461"
"102",-90.04809,35.698362,"Indie Truck Stop","Shell Truck Stop
4610 W Keiser Ave
Osceola AR
Phone:72370

","101",8107,0,"462"
"103",-93.86484,35.522691,"AM Best","The I-40 Travel Center
I-40 Exit 35
Ozark AR
Phone:

","102",7608,0,"463"
"104",-93.822309,35.511466,"Loves Travel Stop","Loves Travel Stop
I-40 Highway 219, I-40 Exit 37
Ozark AR
Phone:72949

","103",6340,0,"464"
"105",-90.903337,34.980933,"Indie Truck Stop","I-40 Kwik Stop
840 North Main Street
Palestine AR
Phone:72372

","104",13950,0,"465"
"106",-90.905235,34.986489,"Loves Travel Stop","Loves Travel Stop
1010 N. Main, I-40 Exit 233
Palestine AR
Phone:72372

","105",13950,0,"466"
"107",-90.490232,36.079019,"Indie Truck Stop","North Pointe 66
US49 Bus, 1810 Route 49 N.
Paragould AR
Phone:72450

","106",2718,0,"467"
"108",-90.555616,35.272519,"Indie Truck Stop","Flash Market
US64/Hwy 75, 5660 Highway 64
Parkin AR
Phone:72373

","107",1274,0,"468"
"109",-91.922253,34.195013,"Indie Truck Stop","Circle N
US65, 4711 Highway 65 S.
Pine Bluff AR
Phone:71601

","108",1708,0,"469"
"110",-92.043485,34.230327,"Indie Truck Stop","Valero
AR365 and US65/US79, 101 N Blake
Pine Bluff AR
Phone:71601

","109",1895,0,"470"
"111",-92.070118,34.23814,"Indie Truck Stop","Circle N #55
800 N Bryant
Pine Bluff AR
Phone:71602

","110",1831,0,"471"
"112",-93.419147,33.810438,"Indie Truck Stop","Exit 44 Truck Stop
I-30 Ex 44, 1673 US Highway 371 W
Prescott AR
Phone:71857

","111",10575,0,"472"
"113",-93.397201,33.835248,"Indie Truck Stop","JJ Fuels
I-30 Ex 46, 2257 Highway 19 N
Prescott AR
Phone:71857

","112",11250,0,"473"
"114",-93.394759,33.828782,"Loves Travel Stop","Loves Travel Stop
116 Ron Herrod Rd., I-30 Exit 46
Prescott AR
Phone:71857

","113",11250,0,"474"
"115",-93.427005,33.811646,"TA Travel Center","TA Travel Center
I-30, Exit 44, 1806 Hwy 371 West
Prescott AR
Phone:71857

","114",10575,0,"475"
"116",-92.194958,34.440902,"Indie Truck Stop","J-Mart
I-530 Ex 20, 1101 Sheridan Rd
Redfield AR
Phone:72132

","115",2457,0,"476"
"117",-92.823364,34.403927,"Indie Truck Stop","Corner Store Truckstop Valero
3466 Oliver Lancaster Blvd
Rockport AR
Phone:72104

","116",12243,0,"477"
"118",-94.181805,36.335554,"Indie Truck Stop","Fast Trax 7
I-540 Ex 85, 4601 W Walnut St
Rogers AR
Phone:72756

","117",5359,0,"478"
"119",-94.152339,36.355461,"Indie Truck Stop","Kum and Go
I-540 Ex 86 (US62), 2400 W. Hudson Rd
Rogers AR
Phone:72756

","118",4179,0,"479"
"120",-93.08939,35.283287,"Flying J Travel Plaza","Flying J Travel Plaza
I-40 Exit 84, 42 Bradley Cove Road
Russellville AR
Phone:72802

","119",8004,0,"480"
"121",-93.140839,35.22825,"Indie Truck Stop","PDQ 247
154 Sr 247
Russellville AR
Phone:72801

","120",848,0,"481"
